0 2011_09_26_drive_0001 2011_09_26 0001 0.4 114 00:11 1392x512
1 2011_09_26_drive_0002 2011_09_26 0002 0.3 83 00:08 1392x512
2 2011_09_26_drive_0005 2011_09_26 0005 0.6 160 00:16 1392x512
3 2011_09_26_drive_0009 2011_09_26 0009 1.8 453 00:45 1392x512
4 2011_09_26_drive_0011 2011_09_26 0011 0.9 238 00:23 1392x512
5 2011_09_26_drive_0013 2011_09_26 0013 0.6 150 00:15 1392x512
6 2011_09_26_drive_0014 2011_09_26 0014 1.2 320 00:32 1392x512
7 2011_09_26_drive_0017 2011_09_26 0017 0.5 120 00:12 1392x512
8 2011_09_26_drive_0018 2011_09_26 0018 1.1 276 00:27 1392x512
9 2011_09_26_drive_0048 2011_09_26 0048 0.1 22 00:02 1392x512
10 2011_09_26_drive_0051 2011_09_26 0051 1.7 444 00:44 1392x512
11 2011_09_26_drive_0056 2011_09_26 0056 1.2 300 00:30 1392x512
12 2011_09_26_drive_0057 2011_09_26 0057 1.4 367 00:36 1392x512
13 2011_09_26_drive_0059 2011_09_26 0059 1.5 379 00:37 1392x512
14 2011_09_26_drive_0060 2011_09_26 0060 0.3 84 00:08 1392x512
15 2011_09_26_drive_0084 2011_09_26 0084 1.5 389 00:38 1392x512
16 2011_09_26_drive_0091 2011_09_26 0091 1.3 346 00:34 1392x512
17 2011_09_26_drive_0093 2011_09_26 0093 1.7 439 00:43 1392x512
18 2011_09_26_drive_0095 2011_09_26 0095 1.1 274 00:27 1392x512
19 2011_09_26_drive_0096 2011_09_26 0096 1.9 481 00:48 1392x512
20 2011_09_26_drive_0015 2011_09_26 0015 1.2 303 00:30 1392x512
21 2011_09_26_drive_0027 2011_09_26 0027 0.7 194 00:19 1392x512
22 2011_09_26_drive_0028 2011_09_26 0028 1.7 435 00:43 1392x512
23 2011_09_26_drive_0029 2011_09_26 0029 1.7 436 00:43 1392x512
24 2011_09_26_drive_0032 2011_09_26 0032 1.5 396 00:39 1392x512
25 2011_09_26_drive_0052 2011_09_26 0052 0.3 84 00:08 1392x512
26 2011_09_26_drive_0070 2011_09_26 0070 1.6 426 00:42 1392x512
27 2011_09_26_drive_0101 2011_09_26 0101 3.6 941 01:34 1392x512
28 2011_09_29_drive_0004 2011_09_29 0004 1.3 345 00:34 1392x512
29 2011_09_30_drive_0016 2011_09_30 0016 1.1 285 00:28 1392x512
30 2011_10_03_drive_0042 2011_10_03 0042 4.5 1176 01:57 1392x512
31 2011_10_03_drive_0047 2011_10_03 0047 3.3 844 01:24 1392x512
32 2011_09_28_drive_0053 2011_09_28 0053 0.3 74 00:07 1392x512
33 2011_09_28_drive_0054 2011_09_28 0054 0.2 51 00:05 1392x512
34 2011_09_28_drive_0057 2011_09_28 0057 0.3 80 00:08 1392x512
35 2011_09_28_drive_0065 2011_09_28 0065 0.2 45 00:04 1392x512
36 2011_09_28_drive_0066 2011_09_28 0066 0.1 35 00:03 1392x512
37 2011_09_28_drive_0068 2011_09_28 0068 0.3 73 00:07 1392x512
38 2011_09_28_drive_0070 2011_09_28 0070 0.2 45 00:04 1392x512
39 2011_09_28_drive_0071 2011_09_28 0071 0.2 49 00:04 1392x512
40 2011_09_28_drive_0075 2011_09_28 0075 0.3 76 00:07 1392x512
41 2011_09_28_drive_0077 2011_09_28 0077 0.2 48 00:04 1392x512
42 2011_09_28_drive_0078 2011_09_28 0078 0.2 43 00:04 1392x512
43 2011_09_28_drive_0080 2011_09_28 0080 0.2 46 00:04 1392x512
44 2011_09_28_drive_0082 2011_09_28 0082 0.3 81 00:08 1392x512
45 2011_09_28_drive_0086 2011_09_28 0086 0.1 36 00:03 1392x512
46 2011_09_28_drive_0087 2011_09_28 0087 0.3 88 00:08 1392x512
47 2011_09_28_drive_0089 2011_09_28 0089 0.2 45 00:04 1392x512
48 2011_09_28_drive_0090 2011_09_28 0090 0.2 52 00:05 1392x512
49 2011_09_28_drive_0094 2011_09_28 0094 0.4 92 00:09 1392x512
50 2011_09_28_drive_0095 2011_09_28 0095 0.2 47 00:04 1392x512
51 2011_09_28_drive_0096 2011_09_28 0096 0.2 51 00:05 1392x512
